Neighborhood,ID,HAI
West Humber-Clairville,1,112
Mount Olive-Silverstone-Jamestown,2,96
Thistletown-Beaumond Heights,3,73
Rexdale-Kipling,4,86
Elms-Old Rexdale,5,96
Kingsview Village-The Westway,6,106
Willowridge-Martingrove-Richview,7,76
Humber Heights-Westmount,8,85
Edenbridge-Humber Valley,9,111
Princess-Rosethorn,10,92
Eringate-Centennial-West Deane,11,90
Markland Wood,12,112
Etobicoke West Mall,13,100
Islington-City Centre West,14,97
Kingsway South,15,124
Stonegate-Queensway,16,97
Mimico (includes Humber Bay Shores),17,93
New Toronto,18,64
Long Branch,19,76
Alderwood,20,75
Humber Summit,21,78
Humbermede,22,82
Pelmo Park-Humberlea,23,94
Black Creek,24,89
Glenfield-Jane Heights,25,79
Downsview-Roding-CFB,26,81
York University Heights,27,81
Rustic,28,52
Maple Leaf,29,68
Brookhaven-Amesbury,30,80
Yorkdale-Glen Park,31,76
Englemount-Lawrence,32,64
Clanton Park,33,83
Bathurst Manor,34,80
Westminster-Branson,35,83
Newtonbrook West,36,64
Willowdale West,37,73
Lansing-Westgate,38,92
Bedford Park-Nortown,39,88
St.Andrew-Windfields,40,74
Bridle Path-Sunnybrook-York Mills,41,118
Banbury-Don Mills,42,78
Victoria Village,43,73
Flemingdon Park,44,99
Parkwoods-Donalda,45,94
Pleasant View,46,93
Don Valley Village,47,77
Hillcrest Village,48,81
Bayview Woods-Steeles,49,79
Newtonbrook East,50,64
Willowdale East,51,73
Bayview Village,52,93
Henry Farm,53,98
O'Connor-Parkview,54,70
Thorncliffe Park,55,77
Leaside-Bennington,56,126
Broadview North,57,61
Old East York,58,71
Danforth East York,59,62
Woodbine-Lumsden,60,73
Taylor-Massey,61,76
East End-Danforth,62,82
The Beaches,63,88
Woodbine Corridor,64,74
Greenwood-Coxwell,65,108
Danforth,66,68
Playter Estates-Danforth,67,65
North Riverdale,68,66
Blake-Jones,69,63
South Riverdale,70,73
Cabbagetown-South St. James Town,71,69
Regent Park,72,71
Moss Park,73,98
North St. James Town,74,70
Church-Yonge Corridor,75,78
Bay Street Corridor,76,133
Waterfront Communities-The Island,77,116
Kensington-Chinatown,78,56
University,79,54
Palmerston-Little Italy,80,52
Trinity-Bellwoods,81,61
Niagara,82,117
Dufferin Grove,83,53
Little Portugal,84,98
South Parkdale,85,33
Roncesvalles,86,62
High Park-Swansea,87,73
High Park North,88,63
Runnymede-Bloor West Village,89,84
Junction Area,90,81
Weston-Pelham Park,91,54
Corso Italia-Davenport,92,57
Dovercourt-Wallace Emerson-Junction,93,61
Wychwood,94,63
Annex,95,91
Casa Loma,96,144
Yonge-St.Clair,97,88
Rosedale-Moore Park,98,157
Mount Pleasant East,99,82
Yonge-Eglinton,100,104
Forest Hill South,101,80
Forest Hill North,102,66
Lawrence Park South,103,106
Mount Pleasant West,104,83
Lawrence Park North,105,82
Humewood-Cedarvale,106,66
Oakwood Village,107,59
Briar Hill-Belgravia,108,72
Caledonia-Fairbank,109,66
Keelesdale-Eglinton West,110,73
Rockcliffe-Smythe,111,63
Beechborough-Greenbrook,112,51
Weston,113,70
Lambton Baby Point,114,87
Mount Dennis,115,75
Steeles,116,83
L'Amoreaux,117,89
Tam O'Shanter-Sullivan,118,74
Wexford/Maryvale,119,72
Clairlea-Birchmount,120,82
Oakridge,121,53
Birchcliffe-Cliffside,122,79
Cliffcrest,123,71
Kennedy Park,124,73
Ionview,125,72
Dorset Park,126,92
Bendale,127,90
Agincourt South-Malvern West,128,94
Agincourt North,129,94
Milliken,130,83
Rouge,131,107
Malvern,132,108
Centennial Scarborough,133,107
Highland Creek,134,85
Morningside,135,89
West Hill,136,84
Woburn,137,64
Eglinton East,138,83
Scarborough Village,139,77
Guildwood,140,99
