Neighborhood,ID,Latitude,Longitude,"11 Agriculture, forestry, fishing and hunting","21 Mining, quarrying, and oil and gas extraction",22 Utilities,23 Construction,31-33 Manufacturing,41 Wholesale trade,44-45 Retail trade,48-49 Transportation and warehousing,51 Information and cultural industries,52 Finance and insurance,53 Real estate and rental and leasing,"54 Professional, scientific and technical services",55 Management of companies and enterprises,"56 Administrative and support, waste management and remediation services",61 Educational services,62 Health care and social assistance,"71 Arts, entertainment and recreation",72 Accommodation and food services,81 Other services (except public administration),91 Public administration,Any Job,Avg House Price,Avg Household Income,HAI,Avg House Price Categories,Avg Household Income Categories,HAI Categories,Assault,AutoTheft,Homicide,TheftOver,BreakandEnter,Robbery,All Crimes,Assault Categories,AutoTheft Categories,Homicide Categories,TheftOver Categories,BreakandEnter Categories,Robbery Categories,All Crimes Categories,English,French,Montagnais (Innu),Swampy Cree,Ojibway,Oji-Cree,Ottawa (Odawa),Dene,Sarsi (Sarcee),Mohawk,Dakota,Kabyle,Bilen,Oromo,Somali,Waray-Waray,Amharic,Arabic,Assyrian Neo-Aramaic,Chaldean Neo-Aramaic,Harari,Hebrew,Maltese,Tigrigna,Khmer (Cambodian),Vietnamese,Bikol,Cebuano,Fijian,Hiligaynon,Ilocano,Malagasy,Malay,"Pampangan (Kapampangan, Pampango)",Pangasinan,"Tagalog (Pilipino, Filipino)",Haitian Creole,Kannada,Malayalam,Tamil,Telugu,Albanian,Armenian,Latvian,Lithuanian,Belarusan,Bosnian,Bulgarian,Croatian,Czech,Macedonian,Polish,Russian,Serbian,Serbo-Croatian,Slovak,Slovene (Slovenian),Ukrainian,Scottish Gaelic,Welsh,Afrikaans,Danish,Dutch,German,Icelandic,Norwegian,Swedish,Vlaams (Flemish),Yiddish,Greek,Bengali,Gujarati,Hindi,Kashmiri,Konkani,Marathi,Nepali,Oriya (Odia),Punjabi (Panjabi),Sindhi,Sinhala (Sinhalese),Urdu,Kurdish,Pashto,Persian (Farsi),Catalan,Japanese,Italian,Portuguese,Romanian,Spanish,Georgian,Korean,Mongolian,Akan (Twi),Bamanankan,Edo,Ewe,"Fulah (Pular, Pulaar, Fulfulde)",Ga,Ganda,Igbo,Lingala,Rundi (Kirundi),Kinyarwanda (Rwanda),Shona,Swahili,Wolof,Yoruba,Dinka,Cantonese,Hakka,Mandarin,Min Dong,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",Wu (Shanghainese),Burmese,Tibetan,Lao,Thai,Azerbaijani,Turkish,Uyghur,Uzbek,Estonian,Finnish,Hungarian,Afghan Restaurant,African Restaurant,American Restaurant,Asian Restaurant,BBQ Joint,Bagel Shop,Bakery,Bistro,Brazilian Restaurant,Breakfast Spot,Burger Joint,Burrito Place,Café,Cajun / Creole Restaurant,Cantonese Restaurant,Caribbean Restaurant,Caucasian Restaurant,Chinese Restaurant,Comfort Food Restaurant,Creperie,Cuban Restaurant,Czech Restaurant,Deli / Bodega,Dim Sum Restaurant,Diner,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant,Ethiopian Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food Court,Food Truck,French Restaurant,Fried Chicken Joint,Gastropub,Greek Restaurant,Hakka Restaurant,Hotpot Restaurant,Hungarian Restaurant,Indian Chinese Restaurant,Indian Restaurant,Indonesian Restaurant,Irish Pub,Italian Restaurant,Japanese Restaurant,Kebab Restaurant,Korean Restaurant,Latin American Restaurant,Malay Restaurant,Mediterranean Restaurant,Mexican Restaurant,Middle Eastern Restaurant,New American Restaurant,Noodle House,Pakistani Restaurant,Persian Restaurant,Peruvian Restaurant,Pizza Place,Poke Place,Portuguese Restaurant,Poutine Place,Ramen Restaurant,Restaurant,Salad Place,Sandwich Place,Seafood Restaurant,Snack Place,Soup Place,South American Restaurant,Souvlaki Shop,Spanish Restaurant,Sri Lankan Restaurant,Steakhouse,Sushi Restaurant,Szechuan Restaurant,Taco Place,Tapas Restaurant,Thai Restaurant,Theme Restaurant,Tibetan Restaurant,Turkish Restaurant,Vegetarian / Vegan Restaurant,Vietnamese Restaurant,Wings Joint,Xinjiang Restaurant
West Humber-Clairville,1,43.7161804033,-79.59635645350001,0.333,0.108,0.18,0.492,1.0,0.486,0.68,1.0,0.125,0.078,0.182,0.079,0.14,0.574,0.325,0.492,0.228,0.387,0.559,0.249,0.343,587000,94000,112.825,"Low (<964,000)","Low (<106,666)",High (>100),905,1100,4,156,413,275,2853,"Medium (588-1,027)",High (>184),Medium (2-4),High (>44),High (>353),High (>192),"High (>1,773)",0.345,0.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134,0.5,0.111,0.103,0.06,0.02,0.0,0.0,0.273,0.286,0.067,0.077,0.0,0.077,0.0,0.0,0.087,0.0,0.0,1.0,1.0,0.211,0.0,0.25,0.333,0.069,0.262,0.25,0.004,0.0,0.05,0.0,0.0,0.0,0.276,0.1,0.034,0.103,0.008,0.028,0.0,0.008,0.167,0.015,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.077,0.05,0.345,1.0,0.0,0.0,0.273,0.025,0.0,1.0,0.069,0.545,0.115,0.059,0.018,0.025,0.0,0.045,0.139,0.02,0.011,0.31,0.0,0.016,0.25,0.408,0.0,0.5,0.0,0.0,1.0,0.333,0.556,0.0,0.5,0.0,0.0,0.235,0.0,0.636,0.0,0.02,0.024,0.025,0.0,0.079,0.0,0.5,0.004,0.077,0.25,0.0,0.138,0.0,0.0,0.0,0.0,0.22,1.0,0.0,0.667,0.667,0.0,0.0,0.125,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.25,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.167,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.571,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mount Olive-Silverstone-Jamestown,2,43.7468678027,-79.58725926460001,0.667,0.054,0.06,0.451,0.952,0.439,0.532,0.732,0.097,0.052,0.114,0.046,0.12,0.493,0.203,0.402,0.146,0.374,0.461,0.159,0.277,578000,79000,96.297,"Low (<964,000)","Low (<106,666)",Medium (76-100),776,189,6,13,97,233,1314,"Medium (588-1,027)",High (>184),High (>4),Low (<26),Low (<224),High (>192),"Medium (1,138-1,773)",0.288,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.359,0.0,0.25,1.0,1.0,1.0,0.0,0.0,0.0,0.19,0.044,0.086,0.0,0.077,1.0,0.167,0.152,0.0,0.286,0.0,0.0,0.101,1.0,0.25,0.211,0.155,0.095,0.062,0.022,0.0,0.0,0.0,0.0,0.038,0.103,0.0,0.034,0.076,0.007,0.007,0.111,0.0,0.056,0.015,0.0,0.0,0.5,0.0,0.0,0.133,0.0,0.0,0.0,0.0,0.0,0.006,0.08,0.488,0.645,0.0,0.0,0.273,0.013,0.0,0.572,0.034,0.136,0.173,0.118,0.098,0.046,0.0,0.015,0.153,0.027,0.032,0.248,0.0,0.013,0.0,1.0,0.0,1.0,1.0,0.0,0.25,0.0,1.0,1.0,0.0,0.0,0.333,0.471,0.5,1.0,0.0,0.013,0.049,0.006,0.0,0.0,0.0,0.333,0.004,0.385,0.75,0.0,0.096,0.0,0.091,0.0,0.0,0.1,0.0,0.5,0.0,1.0,0.25,0.0,0.25,0.0,0.0,0.0,0.333,0.0,0.067,0.0,0.0,0.167,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.5,0.0,0.0,0.25,0.0,0.167,0.0,0.0,0.0,0.0,0.625,0.0,1.0,0.364,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.444,0.0,0.0,0.0,0.0,0.286,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0
Thistletown-Beaumond Heights,3,43.737987917299996,-79.56349101720001,0.0,0.054,0.08,0.218,0.243,0.155,0.215,0.274,0.038,0.021,0.046,0.022,0.0,0.134,0.091,0.121,0.048,0.105,0.142,0.078,0.096,898000,94000,73.751,"Low (<964,000)","Low (<106,666)",Low (<76),518,244,2,22,183,144,1113,Low (<588),High (>184),Medium (2-4),Low (<26),Low (<224),Medium (109-192),"Low (<1,138)",0.106,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.028,0.108,0.131,0.157,0.0,0.0,0.0,0.048,0.022,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.0,0.0,0.053,0.017,0.071,0.021,0.004,0.0,0.0,0.0,0.0,0.0,0.172,0.0,0.0,0.069,0.002,0.0,0.0,0.0,0.056,0.01,0.0,0.0,0.0,0.0,0.0,0.133,0.0,0.0,0.25,0.0,0.0,0.039,0.024,0.081,0.187,0.0,0.0,0.091,0.013,0.0,0.156,0.0,0.045,0.048,0.0,0.012,0.015,0.0,0.0,0.12,0.014,0.032,0.172,0.0,0.004,0.0,0.171,0.0,0.125,0.0,0.0,0.25,0.0,0.111,0.0,0.0,0.0,0.0,0.059,0.0,0.182,0.0,0.005,0.0,0.004,0.0,0.026,0.0,0.0,0.004,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,1.0,0.0,0.0,0.125,0.0,0.0,0.2,0.333,0.0,0.067,0.0,0.0,0.333,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.273,0.2,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.556,0.0,0.0,0.0,0.0,0.286,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.0,0.0
Rexdale-Kipling,4,43.723725477200006,-79.5662284127,0.417,0.0,0.08,0.206,0.215,0.165,0.221,0.265,0.03,0.023,0.065,0.024,0.0,0.21,0.125,0.158,0.061,0.094,0.165,0.114,0.105,744000,91000,86.175,"Low (<964,000)","Low (<106,666)",Medium (76-100),652,272,4,16,150,191,1285,"Medium (588-1,027)",High (>184),Medium (2-4),Low (<26),Low (<224),Medium (109-192),"Medium (1,138-1,773)",0.133,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,0.052,0.0,0.056,0.054,0.04,0.0,0.0,0.0,0.091,0.095,0.0,0.043,0.0,0.154,0.0,0.167,0.0,0.0,0.143,1.0,0.0,0.049,0.0,0.0,0.018,0.01,0.0,0.083,0.0,0.0,0.0,0.0,0.077,0.038,0.897,0.0,0.0,0.124,0.005,0.007,0.0,0.008,0.167,0.015,0.0,0.0,0.0,0.0,0.0,0.267,0.0,0.0,0.0,0.0,0.0,0.052,0.026,0.019,0.103,0.0,0.0,0.0,0.025,0.0,0.022,0.0,0.136,0.039,0.0,0.018,0.012,0.0,0.0,0.063,0.014,0.053,0.234,0.019,0.004,0.0,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.118,0.0,0.091,0.0,0.004,0.0,0.004,0.0,0.0,0.0,0.0,0.004,0.077,0.0,0.0,0.043,0.0,0.0,0.0,0.0,0.12,0.0,0.5,0.333,1.0,0.0,0.0,0.125,0.0,0.0,0.2,0.333,0.0,0.067,0.0,0.0,0.167,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.091,0.4,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.571,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.429,0.0,0.0
Elms-Old Rexdale,5,43.721518868400004,-79.54898271649999,0.0,0.0,0.0,0.144,0.18,0.147,0.182,0.248,0.034,0.021,0.055,0.02,0.08,0.152,0.097,0.148,0.034,0.091,0.15,0.078,0.087,600000,82000,96.289,"Low (<964,000)","Low (<106,666)",Medium (76-100),576,198,3,15,111,142,1045,Low (<588),High (>184),Medium (2-4),Low (<26),Low (<224),Medium (109-192),"Low (<1,138)",0.116,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229,0.0,0.028,0.025,0.023,0.0,0.0,0.0,0.0,0.095,0.044,0.068,0.0,0.077,0.0,0.0,0.065,0.0,0.0,0.5,0.0,0.068,0.0,0.0,0.018,0.005,0.024,0.021,0.0,0.0,0.05,0.0,0.0,0.0,0.172,0.1,0.069,0.159,0.007,0.014,0.0,0.0,0.056,0.015,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.006,0.024,0.005,0.065,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.026,0.059,0.0,0.03,0.0,0.015,0.083,0.009,0.032,0.216,0.0,0.01,0.0,0.132,0.0,0.125,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.118,0.0,0.182,0.0,0.004,0.0,0.003,0.0,0.0,0.0,0.333,0.004,0.077,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.333,1.0,0.0,0.0,0.375,0.0,0.0,0.2,0.333,0.0,0.067,0.0,0.0,0.167,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.091,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.429,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.429,0.0,0.0
Kingsview Village-The Westway,6,43.698992572200005,-79.5478633059,0.167,0.081,0.14,0.379,0.339,0.27,0.354,0.519,0.074,0.049,0.114,0.055,0.12,0.353,0.219,0.3,0.15,0.259,0.339,0.154,0.195,577000,87000,106.232,"Low (<964,000)","Low (<106,666)",High (>100),474,210,6,19,157,90,956,Low (<588),High (>184),High (>4),Low (<26),Low (<224),Low (<109),"Low (<1,138)",0.238,0.253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,1.0,0.0,0.083,0.148,0.003,0.0,0.2,0.021,0.273,0.143,0.0,0.039,0.0,0.385,0.0,0.0,0.065,0.0,0.0,0.0,1.0,0.068,0.0,0.0,0.035,0.017,0.048,0.5,0.018,0.0,0.05,0.0,0.154,0.115,0.483,0.1,0.0,0.324,0.017,0.041,0.111,0.017,0.056,0.125,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.09,0.075,0.023,0.308,0.0,0.333,0.0,0.025,0.0,0.052,0.138,0.227,0.188,0.0,0.025,0.053,0.0,0.015,0.209,0.05,0.095,0.287,0.0,0.041,0.0,0.092,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.412,0.0,0.182,0.0,0.012,0.0,0.012,0.0,0.026,0.045,0.167,0.011,0.0,0.0,0.0,0.128,0.167,0.0,0.111,0.0,0.42,0.0,0.5,0.667,0.667,0.0,0.0,0.5,0.0,0.0,0.2,0.167,0.0,0.133,0.0,0.0,0.167,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.125,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444,0.0,0.0,0.0,0.0,0.857,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.286,0.0,0.0
Willowridge-Martingrove-Richview,7,43.683644963,-79.5542210494,0.167,0.054,0.2,0.422,0.349,0.353,0.387,0.413,0.053,0.086,0.157,0.073,0.14,0.29,0.333,0.264,0.17,0.152,0.402,0.197,0.208,969000,105000,76.345,"Medium (964,000-1,432,000)","Low (<106,666)",Medium (76-100),407,199,3,16,194,123,942,Low (<588),High (>184),Medium (2-4),Low (<26),Low (<224),Medium (109-192),"Low (<1,138)",0.288,0.227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.165,0.0,0.056,0.054,0.014,0.0,0.2,0.0,0.273,0.19,0.0,0.032,0.0,0.077,0.0,0.167,0.043,0.0,0.0,0.0,0.0,0.085,0.0,0.0,0.14,0.017,0.048,0.771,0.004,0.167,0.1,0.0,0.0,0.154,0.552,0.1,0.034,0.297,0.014,0.11,0.222,0.008,0.167,0.245,0.0,0.0,0.0,0.5,0.143,0.2,0.0,0.0,0.0,0.0,0.0,0.09,0.026,0.026,0.093,0.0,0.0,0.455,0.025,0.0,0.042,0.103,0.591,0.082,0.0,0.006,0.01,0.0,0.015,0.237,0.064,0.126,0.22,0.0,0.07,0.0,0.197,1.0,0.25,0.0,0.0,0.0,0.333,0.222,0.0,0.0,0.0,0.333,0.059,0.0,0.455,0.0,0.011,0.024,0.018,0.0,0.079,0.045,0.0,0.025,0.0,0.0,0.1,0.074,0.0,0.091,0.111,0.2,0.22,0.0,0.0,0.667,0.667,0.0,0.0,0.625,0.0,0.0,0.2,0.333,0.0,0.067,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.0,0.0,0.5,0.4,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Humber Heights-Westmount,8,43.6922328007,-79.5224162029,0.0,0.0,0.04,0.235,0.122,0.137,0.17,0.159,0.039,0.038,0.086,0.034,0.0,0.125,0.184,0.143,0.065,0.084,0.217,0.108,0.098,839000,102000,85.655,"Low (<964,000)","Low (<106,666)",Medium (76-100),287,191,7,29,214,52,780,Low (<588),High (>184),High (>4),Medium (26-44),Low (<224),Low (<109),"Low (<1,138)",0.127,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.087,0.0,0.028,0.039,0.003,0.0,0.0,0.0,0.182,0.143,0.0,0.011,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.018,0.001,0.0,0.292,0.004,0.167,0.2,0.0,0.077,0.077,0.345,0.2,0.069,0.207,0.039,0.076,0.222,0.017,0.056,0.48,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.25,0.0,0.0,0.026,0.009,0.0,0.009,0.0,0.0,0.0,0.013,0.0,0.009,0.0,0.0,0.007,0.0,0.0,0.005,0.0,0.0,0.163,0.061,0.116,0.126,0.0,0.017,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.118,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,1.0,0.25,0.0,0.875,0.0,0.0,0.2,0.5,0.0,0.2,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444,0.0,0.0,0.0,0.0,0.286,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.429,0.0,0.0
Edenbridge-Humber Valley,9,43.6708859094,-79.5224577643,0.333,0.081,0.22,0.295,0.198,0.248,0.269,0.236,0.058,0.082,0.197,0.086,0.06,0.154,0.236,0.236,0.109,0.125,0.311,0.197,0.164,1600000,254000,111.848,"High (>1,432,000)","High (>152,333)",High (>100),175,148,0,30,289,37,679,Low (<588),Medium (105-184),Low (<2),Medium (26-44),Medium (224-353),Low (<109),"Low (<1,138)",0.208,0.13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.143,0.03,0.0,0.056,0.015,0.0,0.0,0.0,0.0,0.273,0.0,0.0,0.011,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.018,0.0,0.024,0.312,0.004,0.167,0.05,0.0,0.231,0.192,0.345,0.2,0.103,0.366,0.048,0.269,0.222,0.025,0.167,0.42,0.0,0.0,0.0,0.0,0.143,0.333,0.0,0.0,0.0,0.0,0.0,0.045,0.002,0.004,0.019,0.0,0.0,0.0,0.0,0.333,0.003,0.0,0.045,0.004,0.118,0.006,0.005,0.0,0.045,0.085,0.06,0.126,0.218,0.0,0.041,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.0,0.006,0.0,0.013,0.0,0.0,0.045,0.0,0.007,0.0,0.0,0.0,0.053,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.4,0.5,0.0,0.333,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.0,0.667,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.455,0.4,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.4,0.0,0.0,1.0,0.0,0.143,0.5,0.0
Princess-Rosethorn,10,43.666050604300004,-79.5445592919,0.333,0.054,0.08,0.194,0.123,0.198,0.168,0.1,0.041,0.056,0.172,0.077,0.08,0.08,0.217,0.158,0.082,0.071,0.173,0.162,0.116,1900000,249000,92.334,"High (>1,432,000)","High (>152,333)",Medium (76-100),217,201,2,34,273,122,849,Low (<588),High (>184),Medium (2-4),Medium (26-44),Medium (224-353),Medium (109-192),"Low (<1,138)",0.168,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.005,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.012,0.0,0.0,0.018,0.001,0.024,0.271,0.007,0.0,0.0,0.0,0.0,0.115,0.241,0.1,0.034,0.11,0.015,0.207,0.222,0.0,0.0,0.135,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.001,0.047,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.136,0.003,0.0,0.0,0.007,0.0,0.045,0.022,0.017,0.126,0.032,0.0,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.021,0.0,0.026,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,1.0,0.0,0.0,0.0,0.375,0.0,0.0,0.6,0.5,0.0,0.067,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556,0.0,0.0,0.0,0.0,0.714,0.0,0.4,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.0,0.0,1.0,0.4,0.0,0.0,1.0,0.0,0.0,0.5,0.0
