Neighborhood,ID,Crime Rate
West Humber-Clairville,1,2857
Mount Olive-Silverstone-Jamestown,2,1316
Thistletown-Beaumond Heights,3,1115
Rexdale-Kipling,4,1287
Elms-Old Rexdale,5,1048
Kingsview Village-The Westway,6,957
Willowridge-Martingrove-Richview,7,944
Humber Heights-Westmount,8,782
Edenbridge-Humber Valley,9,680
Princess-Rosethorn,10,851
Eringate-Centennial-West Deane,11,708
Markland Wood,12,651
Etobicoke West Mall,13,730
Islington-City Centre West,14,1247
Kingsway South,15,890
Stonegate-Queensway,16,764
Mimico (includes Humber Bay Shores),17,1261
New Toronto,18,1452
Long Branch,19,1197
Alderwood,20,754
Humber Summit,21,2251
Humbermede,22,1632
Pelmo Park-Humberlea,23,1446
Black Creek,24,1589
Glenfield-Jane Heights,25,1520
Downsview-Roding-CFB,26,1893
York University Heights,27,2412
Rustic,28,1021
Maple Leaf,29,676
Brookhaven-Amesbury,30,1090
Yorkdale-Glen Park,31,2257
Englemount-Lawrence,32,930
Clanton Park,33,1131
Bathurst Manor,34,762
Westminster-Branson,35,773
Newtonbrook West,36,1185
Willowdale West,37,1019
Lansing-Westgate,38,968
Bedford Park-Nortown,39,889
St.Andrew-Windfields,40,926
Bridle Path-Sunnybrook-York Mills,41,1006
Banbury-Don Mills,42,725
Victoria Village,43,1106
Flemingdon Park,44,884
Parkwoods-Donalda,45,840
Pleasant View,46,601
Don Valley Village,47,922
Hillcrest Village,48,798
Bayview Woods-Steeles,49,684
Newtonbrook East,50,885
Willowdale East,51,629
Bayview Village,52,723
Henry Farm,53,837
O'Connor-Parkview,54,1268
Thorncliffe Park,55,720
Leaside-Bennington,56,577
Broadview North,57,861
Old East York,58,867
Danforth East York,59,645
Woodbine-Lumsden,60,806
Taylor-Massey,61,1222
East End-Danforth,62,1480
The Beaches,63,861
Woodbine Corridor,64,1169
Greenwood-Coxwell,65,1337
Danforth,66,1458
Playter Estates-Danforth,67,1514
North Riverdale,68,1245
Blake-Jones,69,1468
South Riverdale,70,1635
Cabbagetown-South St. James Town,71,1749
Regent Park,72,1634
Moss Park,73,3902
North St. James Town,74,1544
Church-Yonge Corridor,75,3320
Bay Street Corridor,76,4409
Waterfront Communities-The Island,77,1960
Kensington-Chinatown,78,3559
University,79,3191
Palmerston-Little Italy,80,1269
Trinity-Bellwoods,81,1583
Niagara,82,1320
Dufferin Grove,83,1485
Little Portugal,84,1091
South Parkdale,85,1619
Roncesvalles,86,1270
High Park-Swansea,87,859
High Park North,88,805
Runnymede-Bloor West Village,89,949
Junction Area,90,1298
Weston-Pelham Park,91,1296
Corso Italia-Davenport,92,1083
Dovercourt-Wallace Emerson-Junction,93,1205
Wychwood,94,932
Annex,95,1594
Casa Loma,96,728
Yonge-St.Clair,97,547
Rosedale-Moore Park,98,1017
Mount Pleasant East,99,506
Yonge-Eglinton,100,1162
Forest Hill South,101,767
Forest Hill North,102,734
Lawrence Park South,103,689
Mount Pleasant West,104,728
Lawrence Park North,105,586
Humewood-Cedarvale,106,750
Oakwood Village,107,994
Briar Hill-Belgravia,108,1089
Caledonia-Fairbank,109,1135
Keelesdale-Eglinton West,110,1188
Rockcliffe-Smythe,111,1169
Beechborough-Greenbrook,112,1532
Weston,113,1807
Lambton Baby Point,114,736
Mount Dennis,115,1174
Steeles,116,545
L'Amoreaux,117,708
Tam O'Shanter-Sullivan,118,835
Wexford/Maryvale,119,1447
Clairlea-Birchmount,120,1679
Oakridge,121,2000
Birchcliffe-Cliffside,122,1295
Cliffcrest,123,1275
Kennedy Park,124,1990
Ionview,125,1049
Dorset Park,126,1407
Bendale,127,1422
Agincourt South-Malvern West,128,1157
Agincourt North,129,663
Milliken,130,1129
Rouge,131,733
Malvern,132,1002
Centennial Scarborough,133,636
Highland Creek,134,956
Morningside,135,1192
West Hill,136,2130
Woburn,137,1185
Eglinton East,138,1368
Scarborough Village,139,1530
Guildwood,140,693
