Neighborhood,ID,Agriculture,Mining,Utilities,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation,Cultural industry,Finance,Real estate,Professional,Management,Admin &                         support,Education,Health care,Arts,Accomodation,Other services,Public admin
West Humber-Clairville,1,33.3333333333333,10.8108108108108,18,49.1606714628297,100,48.5611510791367,68.013468013468,100,12.5195618153365,7.80361757105943,18.1538461538462,7.87112561174551,14,57.3660714285714,32.5278810408922,49.1875923190547,22.7891156462585,38.6731391585761,55.9055118110236,24.8648648648649
Mount Olive-Silverstone-Jamestown,2,66.6666666666667,5.40540540540541,6,45.083932853717,95.2380952380952,43.8848920863309,53.1986531986532,73.1563421828909,9.70266040688576,5.21963824289406,11.3846153846154,4.56769983686786,12,49.3303571428571,20.2602230483271,40.1772525849335,14.6258503401361,37.378640776699,46.0629921259843,15.9459459459459
Thistletown-Beaumond Heights,3,0,5.40540540540541,8,21.8225419664269,24.3386243386243,15.4676258992806,21.5488215488215,27.4336283185841,3.75586854460094,2.0671834625323,4.61538461538462,2.24306688417618,0,13.3928571428571,9.10780669144982,12.1122599704579,4.76190476190476,10.5177993527508,14.1732283464567,7.83783783783784
Rexdale-Kipling,4,41.6666666666667,0,8,20.6235011990408,21.5167548500882,16.5467625899281,22.053872053872,26.5486725663717,2.97339593114241,2.27390180878553,6.46153846153846,2.44698205546493,0,20.9821428571429,12.453531598513,15.8050221565731,6.12244897959184,9.38511326860841,16.5354330708661,11.3513513513514
Elms-Old Rexdale,5,0,0,0,14.3884892086331,17.989417989418,14.7482014388489,18.1818181818182,24.7787610619469,3.44287949921753,2.0671834625323,5.53846153846154,1.95758564437194,8,15.1785714285714,9.66542750929368,14.7710487444609,3.40136054421769,9.06148867313916,14.9606299212598,7.83783783783784
Kingsview Village-The Westway,6,16.6666666666667,8.10810810810811,14,37.8896882494005,33.8624338624339,26.978417266187,35.3535353535354,51.9174041297935,7.35524256651017,4.90956072351421,11.3846153846154,5.46492659053834,12,35.2678571428571,21.9330855018587,29.9852289512555,14.9659863945578,25.8899676375405,33.8582677165354,15.4054054054054
Willowridge-Martingrove-Richview,7,16.6666666666667,5.40540540540541,20,42.2062350119904,34.9206349206349,35.2517985611511,38.7205387205387,41.2979351032448,5.320813771518,8.63049095607235,15.6923076923077,7.34094616639478,14,29.0178571428571,33.271375464684,26.4401772525849,17.0068027210884,15.210355987055,40.1574803149606,19.7297297297297
Humber Heights-Westmount,8,0,0,4,23.5011990407674,12.1693121693122,13.6690647482014,17.003367003367,15.929203539823,3.91236306729265,3.82428940568475,8.61538461538462,3.38499184339315,0,12.5,18.4014869888476,14.327917282127,6.46258503401361,8.41423948220065,21.6535433070866,10.8108108108108
Edenbridge-Humber Valley,9,33.3333333333333,8.10810810810811,22,29.4964028776978,19.7530864197531,24.8201438848921,26.9360269360269,23.598820058997,5.79029733959311,8.21705426356589,19.6923076923077,8.60522022838499,6,15.4017857142857,23.6059479553903,23.6336779911374,10.8843537414966,12.4595469255663,31.1023622047244,19.7297297297297
Princess-Rosethorn,10,33.3333333333333,5.40540540540541,8,19.4244604316547,12.3456790123457,19.7841726618705,16.8350168350168,10.0294985250737,4.06885758998435,5.58139534883721,17.2307692307692,7.74877650897227,8,8.03571428571429,21.7472118959108,15.8050221565731,8.16326530612245,7.11974110032362,17.3228346456693,16.2162162162162
Eringate-Centennial-West Deane,11,16.6666666666667,0,36,35.2517985611511,27.689594356261,32.3741007194245,34.8484848484849,36.8731563421829,9.70266040688576,6.66666666666667,12.6153846153846,7.38172920065253,6,23.2142857142857,34.7583643122677,27.7695716395864,14.9659863945578,16.3430420711974,35.0393700787402,25.6756756756757
Markland Wood,12,16.6666666666667,0,20,16.7865707434053,12.8747795414462,18.3453237410072,19.1919191919192,18.5840707964602,5.94679186228482,4.44444444444444,8.61538461538462,5.30179445350734,4,9.375,19.7026022304833,12.8508124076809,10.5442176870748,7.92880258899676,13.7795275590551,14.3243243243243
Etobicoke West Mall,13,16.6666666666667,0,8,20.6235011990408,20.1058201058201,21.5827338129496,21.7171717171717,28.023598820059,4.06885758998435,3.87596899224806,8.30769230769231,4.73083197389886,4,18.3035714285714,15.0557620817844,15.5096011816839,9.18367346938776,17.1521035598706,21.6535433070866,14.3243243243243
Islington-City Centre West,14,50,24.3243243243243,38,81.0551558752998,53.2627865961199,75.8992805755396,78.6195286195286,80.5309734513275,32.0813771517997,21.8604651162791,47.6923076923077,26.6313213703099,22,58.2589285714286,68.4014869888476,68.8330871491876,34.6938775510204,50.1618122977346,71.259842519685,60
Kingsway South,15,0,5.40540540540541,8,8.39328537170264,9.1710758377425,17.6258992805755,12.6262626262626,5.6047197640118,5.320813771518,7.02842377260982,12,6.8515497553018,12,7.8125,14.3122676579926,11.9645494830133,7.48299319727891,5.33980582524272,13.3858267716535,10.2702702702703
Stonegate-Queensway,16,58.3333333333333,13.5135135135135,38,48.6810551558753,30.8641975308642,41.726618705036,42.5925925925926,36.5781710914454,15.3364632237872,12.2997416020672,27.3846153846154,15.3344208809135,24,25,45.3531598513011,37.0753323485968,19.047619047619,22.4919093851133,47.244094488189,32.972972972973
Mimico (includes Humber Bay Shores),17,75,18.9189189189189,22,59.4724220623501,51.3227513227513,78.7769784172662,66.8350168350168,61.6519174041298,29.7339593114241,16.5891472868217,44.9230769230769,23.0424143556281,20,47.3214285714286,51.8587360594796,53.9143279172821,32.6530612244898,38.1877022653722,65.3543307086614,47.027027027027
New Toronto,18,25,0,10,20.1438848920863,16.0493827160494,23.021582733813,21.7171717171717,20.353982300885,8.76369327073552,3.87596899224806,10.4615384615385,4.03752039151713,4,16.0714285714286,19.5167286245353,15.8050221565731,12.5850340136054,15.3721682847896,21.259842519685,18.3783783783784
Long Branch,19,33.3333333333333,0,10,18.4652278177458,18.342151675485,25.1798561151079,21.3804713804714,19.4690265486726,5.94679186228482,2.99741602067183,8.92307692307692,5.54649265905383,10,15.1785714285714,17.2862453531599,14.7710487444609,12.9251700680272,12.1359223300971,21.6535433070866,13.2432432432432
Alderwood,20,16.6666666666667,8.10810810810811,16,29.4964028776978,24.5149911816578,21.5827338129496,26.9360269360269,24.7787610619469,7.51173708920188,3.92764857881137,8.92307692307692,4.32300163132137,8,16.0714285714286,18.4014869888476,15.2141802067947,10.5442176870748,10.8414239482201,23.2283464566929,17.5675675675676
Humber Summit,21,16.6666666666667,10.8108108108108,16,21.8225419664269,31.2169312169312,15.1079136690647,24.4107744107744,31.5634218289086,2.660406885759,1.96382428940568,5.84615384615385,1.7536704730832,4,18.0803571428571,9.66542750929368,12.8508124076809,6.80272108843537,15.0485436893204,26.3779527559055,4.32432432432432
Humbermede,22,16.6666666666667,0,4,31.1750599520384,47.9717813051146,23.021582733813,24.7474747474747,35.1032448377581,3.28638497652582,2.68733850129199,6.76923076923077,2.85481239804241,8,29.9107142857143,11.5241635687732,19.9409158050222,7.82312925170068,18.6084142394822,27.5590551181102,6.75675675675676
Pelmo Park-Humberlea,23,16.6666666666667,0,10,32.1342925659472,21.3403880070547,17.2661870503597,21.7171717171717,21.8289085545723,2.34741784037559,3.25581395348837,8.61538461538462,3.09951060358891,8,16.7410714285714,15.7992565055762,16.3958641063516,6.46258503401361,8.41423948220065,25.9842519685039,11.8918918918919
Black Creek,24,66.6666666666667,0,4,35.9712230215827,65.0793650793651,23.021582733813,37.7104377104377,36.8731563421829,3.12989045383412,2.22222222222222,8,2.61011419249592,8,33.2589285714286,12.8252788104089,21.5657311669128,7.48299319727891,20.5501618122977,41.7322834645669,7.83783783783784
Glenfield-Jane Heights,25,66.6666666666667,0,8,54.1966426858513,87.4779541446208,38.1294964028777,48.8215488215488,48.0825958702065,5.320813771518,3.87596899224806,11.3846153846154,3.3442088091354,4,51.1160714285714,20.0743494423792,38.109305760709,11.2244897959184,32.2006472491909,55.1181102362205,13.5135135135135
Downsview-Roding-CFB,26,16.6666666666667,10.8108108108108,22,100,88.7125220458554,42.0863309352518,61.952861952862,56.047197640118,9.85915492957746,8.88888888888889,22.4615384615385,6.8515497553018,16,62.7232142857143,34.3866171003717,49.9261447562777,15.3061224489796,39.4822006472492,81.496062992126,31.0810810810811
York University Heights,27,16.6666666666667,16.2162162162162,18,51.5587529976019,69.3121693121693,44.9640287769784,56.9023569023569,44.5427728613569,9.85915492957746,6.9250645994832,20.3076923076923,7.66721044045677,8,45.0892857142857,34.7583643122677,36.4844903988183,16.6666666666667,37.8640776699029,53.1496062992126,22.972972972973
Rustic,28,16.6666666666667,0,4,18.705035971223,12.3456790123457,12.2302158273381,17.3400673400673,20.353982300885,1.87793427230047,1.75710594315246,4.92307692307692,1.46818923327896,4,14.0625,8.7360594795539,12.9985228951256,3.40136054421769,7.60517799352751,20.8661417322835,7.56756756756757
Maple Leaf,29,33.3333333333333,5.40540540540541,4,25.8992805755396,20.8112874779541,10.0719424460432,19.023569023569,12.6843657817109,3.12989045383412,2.32558139534884,8.92307692307692,1.95758564437194,0,17.8571428571429,12.2676579925651,16.5435745937962,3.06122448979592,13.2686084142395,26.7716535433071,6.75675675675676
Brookhaven-Amesbury,30,16.6666666666667,10.8108108108108,18,44.3645083932854,39.8589065255732,27.6978417266187,35.3535353535354,29.2035398230088,6.25978090766823,4.28940568475452,12.3076923076923,3.38499184339315,4,33.0357142857143,14.8698884758364,27.0310192023634,10.8843537414966,18.7702265372168,37.4015748031496,11.3513513513514
Yorkdale-Glen Park,31,16.6666666666667,5.40540540540541,8,29.9760191846523,21.3403880070547,19.4244604316547,25.4208754208754,18.5840707964602,4.22535211267606,5.42635658914729,14.4615384615385,4.24143556280587,0,23.2142857142857,19.3308550185874,19.2023633677991,7.82312925170068,15.0485436893204,39.7637795275591,11.8918918918919
Englemount-Lawrence,32,0,5.40540540540541,8,20.1438848920863,21.1640211640212,26.6187050359712,36.5319865319865,22.1238938053097,7.51173708920188,6.56330749354005,23.3846153846154,8.40130505709625,12,26.1160714285714,39.2193308550186,41.9497784342688,12.9251700680272,22.6537216828479,76.7716535433071,15.1351351351351
Clanton Park,33,0,10.8108108108108,12,22.5419664268585,21.5167548500882,27.3381294964029,28.7878787878788,17.6991150442478,6.88575899843506,5.83979328165375,20.3076923076923,7.91190864600326,8,19.6428571428571,29.7397769516729,34.711964549483,11.5646258503401,18.4466019417476,63.7795275590551,18.3783783783784
Bathurst Manor,34,58.3333333333333,5.40540540540541,12,25.4196642685851,22.5749559082892,21.9424460431655,33.5016835016835,20.0589970501475,6.72926447574335,5.27131782945736,14.4615384615385,7.78955954323002,14,18.3035714285714,27.1375464684015,27.0310192023634,10.5442176870748,16.0194174757282,41.7322834645669,17.027027027027
