Neighborhood,ID,Afrikaans,Akan (Twi),Albanian,Amharic,Arabic,Armenian,Assyrian,Azerbaijani,Bamanankan,Belarusan,Bengali,Bikol,Bilen,Bosnian,Bulgarian,Burmese,Cantonese,Catalan,Cebuano,Chaldean Neo-Aramaic,Croatian,Czech,Dakota,Danish,Dene,Dinka,Dutch,Edo,English,Estonian,Ewe,Fijian,Finnish,French,"Fulah (Pular, Pulaar, Fulfulde)",Ga,Ganda,Georgian,German,Greek,Gujarati,Haitian Creole,Hakka,Harari,Hebrew,Hiligaynon,Hindi,Hungarian,Icelandic,Igbo,Ilocano,Italian,Japanese,Kabyle,Kannada,Kashmiri,Khmer (Cambodian),Kinyarwanda (Rwanda),Konkani,Korean,Kurdish,Lao,Latvian,Lingala,Lithuanian,Macedonian,Malagasy,Malay,Malayalam,Maltese,Mandarin,Marathi,Min Dong,Min Nan,Mohawk,Mongolian,Montagnais (Innu),Nepali,Norwegian,Oji-Cree,Ojibway,Oriya (Odia),Oromo,Ottawa (Odawa),"Pampangan (Kapampangan, Pampango)",Pangasinan,Pashto,Persian,Polish,Portuguese,Punjabi,Romanian,Rundi (Kirundi),Russian,Sarsi (Sarcee),Scottish Gaelic,Serbian,Serbo-Croatian,Shona,Sindhi,Sinhala (Sinhalese),Slovak,Slovene (Slovenian),Somali,Spanish,Swahili,Swampy Cree,Swedish,Tagalog,Tamil,Telugu,Thai,Tibetan,Tigrigna,Turkish,Ukrainian,Urdu,Uyghur,Uzbek,Vietnamese,Vlaams (Flemish),Waray-Waray,Welsh,Wolof,Wu (Shanghainese),Yiddish,Yoruba
West Humber-Clairville,1,0.0,40.78947368421053,25.0,11.11111111111111,10.344827586206897,0.36363636363636365,5.982905982905983,0.0,0.0,0.0,4.952830188679245,0.0,0.0,0.0,0.0,50.0,1.9675925925925926,0.0,7.6923076923076925,1.9607843137254901,27.586206896551722,10.0,0.0,0.0,0.0,0.0,0.0,50.0,34.48956570783982,0.0,0.0,0.0,0.0,12.337662337662337,0.0,100.0,33.33333333333333,0.0,20.0,7.741935483870968,34.52054794520548,0.0,2.4390243902439024,0.0,0.0,0.0,100.0,22.0,0.0,55.55555555555556,8.695652173913043,13.943355119825709,4.477611940298507,0.0,25.0,0.0,6.666666666666667,0.0,0.0,1.5988372093023258,5.88235294117647,7.6923076923076925,0.0,0.0,5.0,3.4482758620689653,0.0,0.0,33.33333333333333,27.27272727272727,2.4517087667161963,27.27272727272727,0.0,7.894736842105263,0.0,25.0,0.0,2.5316455696202533,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,1.8404907975460123,2.510460251046025,10.344827586206897,1.9858156028368796,100.0,1.0526315789473684,50.0,0.7583965330444203,0.0,0.0,2.7586206896551726,0.0,0.0,6.896551724137931,54.54545454545454,0.8403361344537815,16.666666666666664,13.41991341991342,30.963302752293576,23.52941176470588,0.0,0.0,21.12676056338028,6.9478908188585615,26.190476190476193,25.0,0.35714285714285715,28.57142857142857,13.829787234042554,1.5,11.49584487534626,0.0,0.0,7.727272727272727,0.0,50.0,0.0,0.0,0.0,0.0,63.63636363636363
Mount Olive-Silverstone-Jamestown,2,50.0,100.0,6.25,25.0,100.0,2.181818181818182,100.0,0.0,0.0,0.0,8.018867924528301,0.0,0.0,0.0,3.8461538461538463,33.33333333333333,1.3310185185185186,0.0,7.6923076923076925,100.0,10.344827586206897,0.0,0.0,0.0,0.0,0.0,0.0,100.0,28.840007520210563,0.0,100.0,100.0,0.0,13.636363636363635,0.0,25.0,0.0,0.0,13.333333333333334,0.6451612903225806,48.76712328767123,100.0,4.878048780487805,0.0,0.0,16.666666666666664,64.48598130841121,10.0,0.0,100.0,15.217391304347828,15.250544662309368,1.4925373134328357,0.0,25.0,0.0,4.444444444444445,0.0,0.0,1.308139534883721,11.76470588235294,38.46153846153847,0.0,100.0,0.0,3.4482758620689653,0.0,28.57142857142857,21.052631578947366,0.0,0.5943536404160475,27.27272727272727,0.0,0.0,0.0,0.0,0.0,1.2658227848101267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.815950920245399,4.602510460251046,7.586206896551724,2.6950354609929077,57.20524017467249,3.1578947368421053,0.0,0.6500541711809318,0.0,0.0,0.6896551724137931,11.11111111111111,33.33333333333333,3.4482758620689653,13.636363636363635,0.0,5.555555555555555,35.93073593073593,24.770642201834864,47.05882352941176,0.0,0.0,10.093896713615024,15.467328370554176,9.523809523809524,75.0,0.35714285714285715,19.047619047619047,9.574468085106384,1.5,17.31301939058172,0.0,9.090909090909092,8.636363636363637,0.0,0.0,0.0,50.0,0.0,0.0,100.0
Thistletown-Beaumond Heights,3,0.0,17.105263157894736,2.083333333333333,2.7777777777777777,10.83743842364532,0.36363636363636365,13.105413105413104,0.0,0.0,0.0,2.358490566037736,0.0,0.0,0.0,0.0,0.0,0.4629629629629629,0.0,0.0,15.686274509803921,17.24137931034483,0.0,0.0,0.0,0.0,0.0,0.0,12.5,10.556495581876293,0.0,0.0,0.0,0.0,6.493506493506493,0.0,25.0,0.0,0.0,13.333333333333334,3.870967741935484,8.082191780821917,0.0,0.0,0.0,0.0,0.0,18.69158878504673,10.0,0.0,11.11111111111111,0.0,11.982570806100219,0.0,0.0,0.0,0.0,2.2222222222222223,0.0,0.0,0.436046511627907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.263157894736842,0.0,0.3714710252600297,9.090909090909092,0.0,2.631578947368421,0.0,0.0,0.0,1.2658227848101267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2269938650306749,1.4644351464435146,6.896551724137931,1.4184397163120568,15.574963609898107,3.1578947368421053,0.0,0.21668472372697722,0.0,0.0,0.0,0.0,0.0,0.0,4.545454545454546,0.0,5.555555555555555,5.194805194805195,17.201834862385322,5.88235294117647,0.0,25.0,4.225352112676056,1.7369727047146404,7.142857142857142,0.0,0.35714285714285715,4.761904761904762,3.1914893617021276,1.0,4.847645429362881,0.0,0.0,3.4090909090909087,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183
Rexdale-Kipling,4,0.0,7.894736842105263,8.333333333333332,5.555555555555555,5.41871921182266,0.0,3.9886039886039883,0.0,0.0,0.0,2.5943396226415096,0.0,0.0,7.6923076923076925,3.8461538461538463,0.0,0.40509259259259256,0.0,15.384615384615385,0.0,89.65517241379311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.254371122391426,0.0,0.0,0.0,0.0,8.441558441558442,0.0,0.0,0.0,1.9230769230769231,26.666666666666668,5.161290322580645,1.9178082191780823,0.0,0.0,0.0,0.0,16.666666666666664,10.2803738317757,12.0,0.0,11.11111111111111,0.0,6.318082788671024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.436046511627907,0.0,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,14.285714285714285,1.7543859649122806,9.090909090909092,0.3714710252600297,0.0,0.0,0.0,0.0,0.0,0.0,2.5316455696202533,0.0,0.0,0.0,0.0,71.42857142857143,0.0,100.0,0.0,1.8404907975460123,1.1506276150627615,12.413793103448276,1.4184397163120568,2.1834061135371177,5.263157894736842,0.0,0.5417118093174431,0.0,0.0,0.6896551724137931,0.0,0.0,0.0,13.636363636363635,0.8403361344537815,16.666666666666664,5.194805194805195,23.394495412844037,11.76470588235294,0.0,0.0,4.929577464788732,0.9925558312655087,0.0,0.0,0.35714285714285715,9.523809523809524,4.25531914893617,1.5,3.8781163434903045,0.0,0.0,4.318181818181818,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092
Elms-Old Rexdale,5,0.0,13.157894736842104,2.083333333333333,2.7777777777777777,2.4630541871921183,0.0,2.2792022792022792,0.0,0.0,0.0,2.358490566037736,0.0,0.0,0.0,0.0,33.33333333333333,0.40509259259259256,0.0,7.6923076923076925,0.0,17.24137931034483,10.0,0.0,0.0,0.0,0.0,0.0,12.5,11.5811242714796,0.0,0.0,0.0,0.0,3.896103896103896,0.0,0.0,33.33333333333333,0.0,6.666666666666667,0.6451612903225806,0.547945205479452,0.0,0.0,0.0,0.0,0.0,6.5420560747663545,10.0,0.0,0.0,6.521739130434782,8.278867102396514,1.4925373134328357,0.0,0.0,0.0,4.444444444444445,0.0,0.0,1.0174418604651163,5.88235294117647,7.6923076923076925,0.0,0.0,5.0,6.896551724137931,0.0,0.0,1.7543859649122806,0.0,0.2971768202080238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,3.0334728033472804,15.862068965517242,0.851063829787234,1.1644832605531297,3.1578947368421053,0.0,0.6500541711809318,0.0,0.0,1.3793103448275863,0.0,0.0,0.0,0.0,0.0,5.555555555555555,22.943722943722943,21.55963302752294,11.76470588235294,0.0,0.0,6.807511737089202,0.49627791563275436,2.380952380952381,0.0,0.35714285714285715,9.523809523809524,1.0638297872340425,1.5,2.631578947368421,0.0,0.0,6.8181818181818175,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183
Kingsview Village-The Westway,6,0.0,9.210526315789473,50.0,8.333333333333332,14.77832512315271,1.8181818181818181,0.2849002849002849,0.0,0.0,0.0,7.547169811320755,0.0,0.0,15.384615384615385,11.538461538461538,16.666666666666664,1.1574074074074074,0.0,38.46153846153847,0.0,48.275862068965516,10.0,0.0,0.0,0.0,0.0,0.0,0.0,23.78266591464561,11.11111111111111,0.0,0.0,0.0,25.324675324675322,0.0,0.0,100.0,0.0,20.0,9.032258064516128,2.328767123287671,0.0,0.0,20.0,2.083333333333333,0.0,30.8411214953271,42.0,0.0,0.0,6.521739130434782,20.915032679738562,1.4925373134328357,0.0,0.0,0.0,0.0,0.0,33.33333333333333,4.069767441860465,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.508771929824561,27.27272727272727,1.188707280832095,0.0,0.0,2.631578947368421,0.0,0.0,0.0,2.5316455696202533,0.0,0.0,0.0,0.0,42.857142857142854,0.0,0.0,100.0,2.4539877300613497,5.334728033472803,32.41379310344827,4.964539007092199,5.240174672489083,9.473684210526317,0.0,1.7334777898158178,0.0,0.0,4.137931034482759,11.11111111111111,0.0,13.793103448275861,22.727272727272727,1.680672268907563,5.555555555555555,100.0,28.6697247706422,41.17647058823529,0.0,0.0,6.807511737089202,1.7369727047146404,4.761904761904762,0.0,1.0714285714285714,14.285714285714285,12.76595744680851,12.5,18.83656509695291,16.666666666666664,0.0,3.8636363636363633,0.0,0.0,0.0,0.0,4.545454545454546,0.0,18.181818181818183
Willowridge-Martingrove-Richview,7,0.0,19.736842105263158,77.08333333333334,5.555555555555555,5.41871921182266,0.36363636363636365,1.4245014245014245,10.0,100.0,0.0,2.5943396226415096,0.0,0.0,0.0,15.384615384615385,0.0,1.099537037037037,0.0,7.6923076923076925,0.0,55.172413793103445,10.0,0.0,50.0,0.0,0.0,14.285714285714285,25.0,28.755405151344238,11.11111111111111,0.0,0.0,20.0,22.727272727272727,0.0,0.0,33.33333333333333,0.0,20.0,9.032258064516128,2.6027397260273974,0.0,2.4390243902439024,20.0,0.0,16.666666666666664,9.345794392523365,22.0,0.0,22.22222222222222,4.3478260869565215,23.74727668845316,1.4925373134328357,0.0,0.0,0.0,0.0,0.0,0.0,6.976744186046512,0.0,0.0,16.666666666666664,0.0,10.0,3.4482758620689653,0.0,0.0,14.035087719298245,27.27272727272727,1.7830609212481425,45.45454545454545,0.0,7.894736842105263,0.0,0.0,0.0,2.5316455696202533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6134969325153374,1.0460251046025104,29.655172413793103,6.382978723404255,4.2212518195050945,12.631578947368421,0.0,1.4084507042253522,0.0,0.0,11.03448275862069,22.22222222222222,33.33333333333333,10.344827586206897,59.09090909090909,0.8403361344537815,16.666666666666664,16.450216450216452,22.018348623853214,5.88235294117647,0.0,0.0,8.450704225352112,1.7369727047146404,4.761904761904762,0.0,2.5,19.047619047619047,7.446808510638298,24.5,8.171745152354571,0.0,9.090909090909092,3.1818181818181817,0.0,0.0,0.0,0.0,4.545454545454546,0.0,45.45454545454545
Humber Heights-Westmount,8,0.0,6.578947368421052,29.166666666666668,2.7777777777777777,3.9408866995073892,0.36363636363636365,0.2849002849002849,0.0,0.0,0.0,0.9433962264150944,0.0,0.0,7.6923076923076925,7.6923076923076925,0.0,0.11574074074074073,0.0,0.0,0.0,34.48275862068966,20.0,0.0,0.0,0.0,0.0,0.0,0.0,12.671554803534498,0.0,0.0,0.0,0.0,2.5974025974025974,0.0,0.0,0.0,0.0,20.0,2.5806451612903225,0.0,0.0,0.0,0.0,0.0,0.0,0.9345794392523363,14.000000000000002,0.0,0.0,4.3478260869565215,16.33986928104575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.744186046511628,0.0,0.0,16.666666666666664,0.0,20.0,6.896551724137931,0.0,0.0,1.7543859649122806,18.181818181818183,0.1485884101040119,0.0,0.0,0.0,0.0,0.0,0.0,1.2658227848101267,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.5230125523012552,20.689655172413794,6.0992907801418434,0.8733624454148471,11.578947368421053,0.0,3.9003250270855903,0.0,0.0,7.586206896551724,22.22222222222222,33.33333333333333,0.0,0.0,1.680672268907563,5.555555555555555,8.658008658008658,12.614678899082568,11.76470588235294,0.0,25.0,1.8779342723004695,0.0827129859387924,0.0,0.0,0.0,14.285714285714285,2.127659574468085,48.0,0.6925207756232686,0.0,0.0,1.1363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edenbridge-Humber Valley,9,0.0,2.631578947368421,31.25,5.555555555555555,1.477832512315271,0.36363636363636365,0.0,0.0,0.0,0.0,0.2358490566037736,0.0,0.0,23.076923076923077,19.230769230769234,0.0,0.5787037037037037,0.0,7.6923076923076925,0.0,34.48275862068966,20.0,0.0,0.0,100.0,0.0,14.285714285714285,0.0,20.821583004324122,0.0,0.0,0.0,0.0,12.987012987012985,0.0,0.0,0.0,0.0,33.33333333333333,4.516129032258064,0.410958904109589,0.0,0.0,0.0,0.0,0.0,1.8691588785046727,8.0,0.0,0.0,0.0,8.49673202614379,4.477611940298507,0.0,0.0,0.0,0.0,0.0,0.0,4.069767441860465,11.76470588235294,0.0,16.666666666666664,0.0,5.0,10.344827586206897,0.0,0.0,1.7543859649122806,27.27272727272727,1.263001485884101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,14.285714285714285,0.0,0.0,0.0,0.6134969325153374,0.5230125523012552,36.55172413793103,5.957446808510639,0.2911208151382824,12.631578947368421,0.0,4.7670639219935,0.0,0.0,26.89655172413793,22.22222222222222,0.0,0.0,4.545454545454546,2.5210084033613445,16.666666666666664,3.0303030303030303,21.788990825688074,0.0,0.0,0.0,3.051643192488263,0.0,2.380952380952381,0.0,0.7142857142857143,0.0,5.319148936170213,42.0,0.41551246537396125,0.0,0.0,1.1363636363636365,0.0,0.0,0.0,0.0,4.545454545454546,0.0,18.181818181818183
Princess-Rosethorn,10,0.0,0.0,27.083333333333332,0.0,0.49261083743842365,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.538461538461538,0.0,0.5208333333333333,0.0,0.0,0.0,24.137931034482758,10.0,0.0,100.0,0.0,0.0,0.0,0.0,16.817070877984584,0.0,0.0,0.0,0.0,7.142857142857142,0.0,0.0,0.0,0.0,20.0,2.5806451612903225,0.136986301369863,0.0,0.0,0.0,2.083333333333333,0.0,4.672897196261682,12.0,0.0,0.0,0.0,2.178649237472767,4.477611940298507,0.0,0.0,0.0,0.0,0.0,0.0,5.232558139534884,0.0,0.0,0.0,0.0,0.0,3.4482758620689653,0.0,14.285714285714285,1.7543859649122806,0.0,2.080237741456166,0.0,0.0,2.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7322175732217573,11.03448275862069,1.702127659574468,0.1455604075691412,12.631578947368421,0.0,1.5167930660888407,0.0,0.0,20.689655172413794,22.22222222222222,0.0,0.0,13.636363636363635,0.0,0.0,0.8658008658008658,3.211009174311927,0.0,0.0,0.0,1.1737089201877933,0.0827129859387924,2.380952380952381,0.0,0.0,0.0,0.0,13.5,0.2770083102493075,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,4.545454545454546,0.0,0.0
