Neighborhood,ID,Accomodation,Admin/support,Agriculture,Arts,Construction,Cultural industry,Education,Finance,Health care,Management,Manufacturing,Mining,Other services,Professional,Public admin,Real estate,Retail trade,Transportation,Utilities,Wholesale trade
West Humber-Clairville,1,6.9,7.42,0.12,1.94,5.92,2.31,5.05,4.36,9.62,0.2,16.38,0.12,4.1,5.57,2.66,1.7,11.67,9.79,0.26,3.9
Mount Olive-Silverstone-Jamestown,2,8.26,7.9,0.29,1.54,6.72,2.22,3.9,3.61,9.72,0.21,19.31,0.07,4.18,4.0,2.11,1.32,11.3,8.87,0.11,4.36
Thistletown-Beaumond Heights,3,6.71,6.2,0.0,1.45,9.4,2.48,5.06,4.13,8.47,0.0,14.26,0.21,3.72,5.68,3.0,1.55,13.22,9.61,0.41,4.44
Rexdale-Kipling,4,5.49,8.9,0.47,1.7,8.14,1.8,6.34,4.17,10.13,0.0,11.55,0.0,3.98,5.68,3.98,1.99,12.41,8.52,0.38,4.36
Elms-Old Rexdale,5,6.36,7.73,0.0,1.14,6.82,2.5,5.91,4.55,11.36,0.45,11.59,0.0,4.32,5.45,3.3,2.05,12.27,9.55,0.0,4.66
Kingsview Village-The Westway,6,8.13,8.03,0.1,2.24,8.03,2.39,6.0,4.83,10.32,0.3,9.76,0.15,4.37,6.81,2.9,1.88,10.67,8.94,0.36,3.81
Willowridge-Martingrove-Richview,7,4.47,6.18,0.1,2.38,8.37,1.62,8.52,7.94,8.52,0.33,9.42,0.1,4.85,8.56,3.47,2.43,10.94,6.66,0.48,4.66
Humber Heights-Westmount,8,5.25,5.66,0.0,1.92,9.9,2.53,10.0,7.47,9.8,0.0,6.97,0.0,5.56,8.38,4.04,2.83,10.2,5.45,0.2,3.84
Edenbridge-Humber Valley,9,4.66,4.17,0.24,1.94,7.44,2.24,7.68,9.62,9.68,0.18,6.78,0.18,4.78,12.76,4.42,3.87,9.68,4.84,0.67,4.17
Princess-Rosethorn,10,3.77,3.09,0.34,2.06,6.95,2.23,10.03,9.26,9.18,0.34,6.0,0.17,3.77,16.3,5.15,4.8,8.58,2.92,0.34,4.72
