Neighborhood,ID,1st Most Common Language,2nd Most Common Language,3rd Most Common Language,4th Most Common Language,5th Most Common Language
West Humber-Clairville,1,English,Punjabi,Gujarati,Spanish,Hindi
Mount Olive-Silverstone-Jamestown,2,English,Punjabi,Gujarati,Assyrian,Arabic
Thistletown-Beaumond Heights,3,English,Punjabi,Spanish,Gujarati,Italian
Rexdale-Kipling,4,English,Spanish,Italian,Urdu,Croatian
Elms-Old Rexdale,5,English,Spanish,Somali,Italian,Vietnamese
Kingsview Village-The Westway,6,English,Somali,Urdu,Spanish,Italian
Willowridge-Martingrove-Richview,7,English,Italian,Spanish,Urdu,Ukrainian
Humber Heights-Westmount,8,English,Ukrainian,Italian,Spanish,Portuguese
Edenbridge-Humber Valley,9,English,Spanish,Ukrainian,Polish,Russian
Princess-Rosethorn,10,English,Korean,Serbian,Mandarin,Ukrainian
Eringate-Centennial-West Deane,11,English,Ukrainian,Serbian,Polish,Korean
Markland Wood,12,English,Serbian,Ukrainian,Polish,Korean
Etobicoke West Mall,13,English,Serbian,Spanish,Ukrainian,Polish
Islington-City Centre West,14,English,Korean,Ukrainian,Spanish,Serbian
Kingsway South,15,English,Ukrainian,French,Polish,Serbian
Stonegate-Queensway,16,English,Ukrainian,Polish,Russian,Serbian
Mimico (includes Humber Bay Shores),17,English,Polish,Spanish,Russian,Tibetan
New Toronto,18,English,Polish,Spanish,Tagalog,Ukrainian
Long Branch,19,English,Polish,Tagalog,Ukrainian,Spanish
Alderwood,20,English,Polish,Italian,Portuguese,Ukrainian
Humber Summit,21,English,Italian,Urdu,Punjabi,Spanish
Humbermede,22,English,Spanish,Urdu,Italian,Vietnamese
Pelmo Park-Humberlea,23,English,Italian,Spanish,Vietnamese,Portuguese
Black Creek,24,English,Vietnamese,Spanish,Assyrian,Italian
Glenfield-Jane Heights,25,English,Vietnamese,Spanish,Italian,Cantonese
Downsview-Roding-CFB,26,English,Italian,Spanish,Tagalog,Vietnamese
York University Heights,27,English,Italian,Spanish,Tagalog,Tamil
Rustic,28,English,Italian,Spanish,Somali,Portuguese
Maple Leaf,29,English,Italian,Tagalog,Spanish,Portuguese
Brookhaven-Amesbury,30,English,Spanish,Portuguese,Vietnamese,Italian
Yorkdale-Glen Park,31,English,Italian,Portuguese,Spanish,Tagalog
Englemount-Lawrence,32,English,Tagalog,Russian,Spanish,Italian
Clanton Park,33,English,Tagalog,Russian,Italian,Spanish
Bathurst Manor,34,English,Russian,Tagalog,Spanish,Italian
Westminster-Branson,35,English,Russian,Tagalog,Korean,Persian
Newtonbrook West,36,English,Russian,Tagalog,Korean,Persian
Willowdale West,37,English,Mandarin,Persian,Korean,Russian
Lansing-Westgate,38,English,Persian,Korean,Mandarin,Russian
Bedford Park-Nortown,39,English,Tagalog,Persian,Mandarin,Spanish
