,Neighborhood,ID,Avg House Price,Avg Household Income
0,West Humber-Clairville,1,587000,94000
1,Mount Olive-Silverstone-Jamestown,2,578000,79000
2,Thistletown-Beaumond Heights,3,898000,94000
3,Rexdale-Kipling,4,744000,91000
4,Elms-Old Rexdale,5,600000,82000
5,Kingsview Village-The Westway,6,577000,87000
6,Willowridge-Martingrove-Richview,7,969000,105000
7,Humber Heights-Westmount,8,839000,102000
8,Edenbridge-Humber Valley,9,1600000,254000
9,Princess-Rosethorn,10,1900000,249000
10,Eringate-Centennial-West Deane,11,994000,128000
11,Markland Wood,12,933000,149000
12,Etobicoke West Mall,13,628000,90000
13,Islington-City Centre West,14,849000,117000
14,Kingsway South,15,1900000,337000
15,Stonegate-Queensway,16,1030000,142500
16,Mimico (includes Humber Bay Shores),17,788500,104500
17,New Toronto,18,956000,87000
18,Long Branch,19,899000,97000
19,Alderwood,20,1100000,118000
20,Humber Summit,21,789000,88000
21,Humbermede,22,671000,79000
22,Pelmo Park-Humberlea,23,737000,98500
23,Black Creek,24,514000,65000
24,Glenfield-Jane Heights,25,661000,75000
25,Downsview-Roding-CFB,26,733000,85000
26,York University Heights,27,665000,77000
27,Rustic,28,1000000,74000
28,Maple Leaf,29,1000000,97000
29,Brookhaven-Amesbury,30,686000,78000
30,Yorkdale-Glen Park,31,1024500,111500
31,Englemount-Lawrence,32,954000,88000
32,Clanton Park,33,1000000,118000
33,Bathurst Manor,34,1100000,126000
34,Westminster-Branson,35,693000,82000
35,Newtonbrook West,36,1100000,101000
36,Willowdale West,37,962000,100000
37,Lansing-Westgate,38,1350000,176500
38,Bedford Park-Nortown,39,2500000,315666
39,St.Andrew-Windfields,40,2500000,263000
40,Bridle Path-Sunnybrook-York Mills,41,4425000,745250
41,Banbury-Don Mills,42,1802500,200000
42,Victoria Village,43,846000,88000
43,Flemingdon Park,44,496000,70000
44,Parkwoods-Donalda,45,1078666,144666
45,Pleasant View,46,703000,93000
46,Don Valley Village,47,863000,95000
47,Hillcrest Village,48,899000,104000
48,Bayview Woods-Steeles,49,1100000,124000
49,Newtonbrook East,50,1100000,101000
50,Willowdale East,51,962000,100000
51,Bayview Village,52,838000,111000
52,Henry Farm,53,623000,87000
53,O'Connor-Parkview,54,1160333,115333
54,Thorncliffe Park,55,606000,67000
55,Leaside-Bennington,56,2100000,378000
56,Broadview North,57,1000000,87000
57,Old East York,58,1200000,121000
58,Danforth East York,59,1200000,107000
59,Woodbine-Lumsden,60,1100000,114000
60,Taylor-Massey,61,638000,69000
61,East End-Danforth,62,1000000,117000
62,The Beaches,63,1500000,189000
63,Woodbine Corridor,64,1100000,116000
64,Greenwood-Coxwell,65,714000,110000
65,Danforth,66,1200000,117000
66,Playter Estates-Danforth,67,1550000,144500
67,North Riverdale,68,1700000,161000
68,Blake-Jones,69,1200000,109000
69,South Riverdale,70,1100000,115500
70,Cabbagetown-South St. James Town,71,1400000,138000
71,Regent Park,72,658000,67000
72,Moss Park,73,762666,107000
73,North St. James Town,74,694000,69000
74,Church-Yonge Corridor,75,749500,83500
75,Bay Street Corridor,76,861000,163000
76,Waterfront Communities-The Island,77,803000,132333
77,Kensington-Chinatown,78,962666,77333
78,University,79,1700000,131000
79,Palmerston-Little Italy,80,1600000,120000
80,Trinity-Bellwoods,81,1450000,127000
81,Niagara,82,746666,124666
82,Dufferin Grove,83,1250000,95500
83,Little Portugal,84,773000,108000
84,South Parkdale,85,1300000,61000
85,Roncesvalles,86,1200000,107000
86,High Park-Swansea,87,1242500,130000
87,High Park North,88,1500000,135000
88,Runnymede-Bloor West Village,89,1600000,191000
89,Junction Area,90,916500,105500
90,Weston-Pelham Park,91,941000,73000
91,Corso Italia-Davenport,92,1430500,116000
92,Dovercourt-Wallace Emerson-Junction,93,1132500,99250
93,Wychwood,94,1500000,135000
94,Annex,95,1633333,211666
95,Casa Loma,96,1466666,301666
96,Yonge-St.Clair,97,1900000,239500
97,Rosedale-Moore Park,98,2550000,570500
98,Mount Pleasant East,99,1100000,129000
99,Yonge-Eglinton,100,1500000,222000
100,Forest Hill South,101,3200000,366000
101,Forest Hill North,102,2100000,198000
102,Lawrence Park South,103,1733333,262333
103,Mount Pleasant West,104,1500000,177000
104,Lawrence Park North,105,2750000,323500
105,Humewood-Cedarvale,106,1400000,133000
106,Oakwood Village,107,1100000,93000
107,Briar Hill-Belgravia,108,841000,86000
108,Caledonia-Fairbank,109,943000,89000
109,Keelesdale-Eglinton West,110,805000,84000
110,Rockcliffe-Smythe,111,840000,76000
111,Beechborough-Greenbrook,112,997000,73000
112,Weston,113,695000,70000
113,Lambton Baby Point,114,1633333,202000
114,Mount Dennis,115,691000,74000
115,Steeles,116,812000,96000
116,L'Amoreaux,117,732000,93000
117,Tam O'Shanter-Sullivan,118,768000,81000
118,Wexford/Maryvale,119,903000,92500
119,Clairlea-Birchmount,120,836500,97500
120,Oakridge,121,808000,61000
121,Birchcliffe-Cliffside,122,1019500,114500
122,Cliffcrest,123,1100000,112000
123,Kennedy Park,124,712000,74000
124,Ionview,125,726000,75000
125,Dorset Park,126,614000,81000
126,Bendale,127,651000,84000
127,Agincourt South-Malvern West,128,687000,92000
128,Agincourt North,129,687000,92000
129,Milliken,130,764000,91000
130,Rouge,131,855500,131000
131,Malvern,132,585000,90000
132,Centennial Scarborough,133,1000000,152000
133,Highland Creek,134,1100000,134000
134,Morningside,135,830000,106000
135,West Hill,136,683000,82000
136,Woburn,137,849000,78000
137,Eglinton East,138,644000,76000
138,Scarborough Village,139,687000,76000
139,Guildwood,140,888000,126000
