,Names,Websites,ID
0,Alderwood,/alderwood-toronto/neighbourhood-profile,20
1,Centenial Park,/centenial-park-toronto/neighbourhood-profile,11
2,Clairville,/clairville-toronto/neighbourhood-profile,1
3,Eatonville,/eatonville-toronto/neighbourhood-profile,14
4,Etobicoke West Mall,/etobicoke-west-mall-toronto/neighbourhood-profile,13
5,Humber Bay,/humber-bay-toronto/neighbourhood-profile,17
6,Humber Heights,/humber-heights-toronto/neighbourhood-profile,8
7,Humber Valley Village,/humber-valley-village-toronto/neighbourhood-profile,9
8,Islington Village,/islington-village-toronto/neighbourhood-profile,14
9,Kingsview,/kingsview-toronto/neighbourhood-profile,6
10,Long Branch,/long-branch-toronto/neighbourhood-profile,19
11,Markland Wood,/markland-wood-toronto/neighbourhood-profile,12
12,Mimico,/mimico-toronto/neighbourhood-profile,17
13,New Toronto,/new-toronto-toronto/neighbourhood-profile,18
14,Princess-Rosethorn,/princess-rosethorn-toronto/neighbourhood-profile,10
15,Queensway West,/queensway-west-toronto/neighbourhood-profile,14
16,Rexdale,/rexdale-toronto/neighbourhood-profile,4
17,Richview,/richview-toronto/neighbourhood-profile,7
18,Smithfield,/smithfield-toronto/neighbourhood-profile,2
19,Sunnylea,/sunnylea-toronto/neighbourhood-profile,16
20,The Elms,/the-elms-toronto/neighbourhood-profile,5
21,The Kingsway,/the-kingsway-toronto/neighbourhood-profile,15
22,The Queensway,/the-queensway-toronto/neighbourhood-profile,16
23,Thistletown,/thistletown-toronto/neighbourhood-profile,3
24,West Deane Park,/west-deane-park-toronto/neighbourhood-profile,11
