,Neighborhood,ID,Afghan Restaurant,African Restaurant,American Restaurant,Asian Restaurant,BBQ Joint,Bagel Shop,Bakery,Bistro,Brazilian Restaurant,Breakfast Spot,Burger Joint,Burrito Place,Café,Cajun / Creole Restaurant,Cantonese Restaurant,Caribbean Restaurant,Caucasian Restaurant,Chinese Restaurant,Comfort Food Restaurant,Creperie,Cuban Restaurant,Czech Restaurant,Deli / Bodega,Dim Sum Restaurant,Diner,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant,Ethiopian Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Court,Food Truck,French Restaurant,Fried Chicken Joint,Gastropub,Greek Restaurant,Hakka Restaurant,Hotpot Restaurant,Hungarian Restaurant,Indian Chinese Restaurant,Indian Restaurant,Indonesian Restaurant,Irish Pub,Italian Restaurant,Japanese Restaurant,Kebab Restaurant,Korean Restaurant,Latin American Restaurant,Malay Restaurant,Mediterranean Restaurant,Mexican Restaurant,Middle Eastern Restaurant,New American Restaurant,Noodle House,Pakistani Restaurant,Persian Restaurant,Peruvian Restaurant,Pizza Place,Poke Place,Portuguese Restaurant,Poutine Place,Ramen Restaurant,Restaurant,Salad Place,Sandwich Place,Seafood Restaurant,Snack Place,Soup Place,South American Restaurant,Souvlaki Shop,Spanish Restaurant,Sri Lankan Restaurant,Steakhouse,Sushi Restaurant,Szechuan Restaurant,Taco Place,Tapas Restaurant,Thai Restaurant,Theme Restaurant,Tibetan Restaurant,Turkish Restaurant,Vegetarian / Vegan Restaurant,Vietnamese Restaurant,Wings Joint,Xinjiang Restaurant
0,West Humber-Clairville,1,1,0,2,2,0,0,1,0,0,1,3,0,0,0,0,3,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1,0,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,4,0,5,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0
1,Mount Olive-Silverstone-Jamestown,2,0,1,0,3,1,0,2,0,0,0,2,0,1,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,1,0,0,0,0,5,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,2,0,6,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0
2,Thistletown-Beaumond Heights,3,0,1,0,3,0,0,1,0,0,1,2,0,1,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,3,0,0,0,0,0,0,5,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,2,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0
3,Rexdale-Kipling,4,0,1,1,3,0,0,1,0,0,1,2,0,1,0,0,1,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,1,0,0,2,0,0,0,0,0,0,4,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,4,0,4,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,3,0,0
4,Elms-Old Rexdale,5,0,1,1,3,0,0,3,0,0,1,2,0,1,0,0,1,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,8,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3,0,0
5,Kingsview Village-The Westway,6,0,1,2,2,0,0,4,0,0,1,1,0,2,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,6,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,2,0,0
6,Willowridge-Martingrove-Richview,7,0,0,2,2,0,0,5,0,0,1,2,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,4,0,0,0,0,0,0,0,2,3,0,0,1,2,0,0,1,0,0,0,0
7,Humber Heights-Westmount,8,0,0,0,3,1,0,7,0,0,1,3,0,3,1,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3,0,0
8,Edenbridge-Humber Valley,9,0,0,0,0,0,0,6,0,0,2,3,0,5,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,0,1,1,0
9,Princess-Rosethorn,10,0,0,3,0,0,0,3,0,0,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,4,1,0,0,0,0,0,0,2,3,0,0,2,2,0,0,2,0,0,1,0
