ID,Avg House Price,Avg Income
1,587000,94000
2,578000,79000
3,898000,94000
4,744000,91000
5,600000,82000
6,577000,87000
7,969000,105000
8,839000,102000
9,1600000,254000
10,1900000,249000
11,994000,128000
12,933000,149000
13,628000,90000
14,849000,117000
15,1900000,337000
16,1030000,142500
17,788500,104500
18,956000,87000
19,899000,97000
20,1100000,118000
21,789000,88000
22,671000,79000
23,737000,98500
24,514000,65000
25,661000,75000
26,733000,85000
27,665000,77000
28,1000000,74000
29,1000000,97000
30,686000,78000
31,1024500,111500
32,954000,88000
33,1000000,118000
34,1100000,126000
35,693000,82000
36,1100000,101000
37,962000,100000
38,1350000,176500
39,2500000,315666
40,2500000,263000
41,4425000,745250
42,1802500,200000
43,846000,88000
44,496000,70000
45,1078666,144666
46,703000,93000
47,863000,95000
48,899000,104000
49,1100000,124000
50,1100000,101000
51,962000,100000
52,838000,111000
53,623000,87000
54,1160333,115333
55,606000,67000
56,2100000,378000
57,1000000,87000
58,1200000,121000
59,1200000,107000
60,1100000,114000
61,638000,69000
62,1000000,117000
63,1500000,189000
64,1100000,116000
65,1100000,114000
66,1200000,117000
67,1550000,144500
68,1700000,161000
69,1200000,109000
70,1100000,115500
71,1400000,138000
72,658000,67000
73,762666,107000
74,694000,69000
75,749500,83500
76,861000,163000
77,803000,132333
78,962666,77333
79,1700000,131000
80,1600000,120000
81,1450000,127000
82,746666,124666
83,1250000,95500
84,773000,108000
85,1300000,61000
86,1200000,107000
87,1242500,130000
88,1500000,120000
89,1600000,191000
90,916500,105500
91,941000,73000
92,1430500,116000
93,1132500,99250
94,1500000,135000
95,1633333,211666
96,1466666,301666
97,1900000,239500
98,2550000,570500
99,1100000,129000
100,1500000,222000
101,3200000,366000
102,2100000,198000
103,1733333,262333
104,1100000,129000
105,2750000,323500
106,1400000,133000
107,1100000,93000
108,841000,86000
109,943000,89000
110,805000,84000
111,840000,76000
112,997000,73000
113,695000,70000
114,1633333,202000
115,691000,74000
116,812000,96000
117,732000,93000
118,768000,81000
119,903000,92500
120,836500,97500
121,808000,61000
122,1019500,114500
123,1100000,112000
124,712000,74000
125,726000,75000
126,614000,81000
127,651000,84000
128,687000,92000
129,687000,92000
130,764000,91000
131,855500,131000
132,585000,90000
133,1000000,152000
134,1100000,134000
135,830000,106000
136,683000,82000
137,849000,78000
138,644000,76000
139,687000,76000
140,888000,126000
