,Names,Websites,ID
0,Baby Point,/baby-point-toronto/neighbourhood-profile,114
1,Beechborough-Greenbrook,/beechborough-greenbrook-toronto/neighbourhood-profile,112
2,Briar Hill - Belgravia,/briar-hill-belgravia-toronto/neighbourhood-profile,108
3,Fairbank,/fairbank-toronto/neighbourhood-profile,109
4,Humewood-Cedarvale,/humewood-cedarvale-toronto/neighbourhood-profile,106
5,Keelesdale,/keelesdale-toronto/neighbourhood-profile,110
6,Lambton,/lambton-toronto/neighbourhood-profile,114
7,Mount Dennis,/mount-dennis-toronto/neighbourhood-profile,115
8,Oakwood-Vaughan,/oakwood-vaughan-toronto/neighbourhood-profile,107
9,Old Mill,/old-mill-toronto/neighbourhood-profile,114
10,Rockcliffe-Smythe,/rockcliffe-smythe-toronto/neighbourhood-profile,111
12,Weston,/weston-toronto/neighbourhood-profile,113
